date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:09:21	50977/50977	---M--	200	added ('OK')	image/png	etag:%22356ad5489ead9b65fbd3f2539db5d89c%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/normalizationforward.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/normalizationforward.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:21	22745/22745	---M--	200	added ('OK')	image/png	etag:%222c1c454af9621e4ca69eb3111f5330a3%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/normalizationbackward.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/normalizationbackward.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:22	34988/34988	---M--	200	added ('OK')	image/png	etag:%22499fde296740645f856dd6512b135572%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/diagrams.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/diagrams.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:22	4382/4382	---M--	200	added ('OK')	image/png	etag:%227851edbfef3e78009bd5723f1845159e%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/example_conv.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/example_conv.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:23	11816/11816	---M--	200	added ('OK')	image/png	etag:%22f3101f641583ce2c5dc96879f1f199cc%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/example_conv_pw.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/example_conv_pw.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:23	15690/15690	---M--	200	added ('OK')	image/png	etag:%228732394a65e020eab88a313e68d59c99%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mxnet.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/mxnet.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:24	11783/11783	---M--	200	added ('OK')	image/png	etag:%22f2ae54f35f8de05a7b2b7261d163bbe4%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/matmul.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/matmul.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:24	23676/23676	---M--	200	added ('OK')	image/png	etag:%227efeafae4dd6dd4c441edb2fa285acf1%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/conv_DAG.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/conv_DAG.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:25	38430/38430	---M--	200	added ('OK')	image/png	etag:%225f74acdebd2ec7689cfe07a9d69b2eea%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/value-input-tensor.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/value-input-tensor.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
03:09:25	78574/78574	---M--	200	added ('OK')	image/png	etag:%224a7d3ca0c30f28812e32468b469d854d%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/bnaddrelu.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/graphics/bnaddrelu.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/developer-guide/index.html)
